074000	第四大隊	070000	1	埤頭鄉平原村安康街100號3F	194955.7983593090931322361	2642907.07015724054707414654	201005280841	SA		
074001	北斗分隊	074000	3	北斗鎮西德里公所街12號	201257.1415279379717735403	2640883.50098653899885318197	201005280841			
074002	溪州分隊	074000	3	溪州鄉溪州村中山路三段278號	198364.095429166258354077	2638848.5271276975501156182	201005280841			
074003	埤頭分隊	074000	3	埤頭鄉平原村安康街100號	194954.536299309289366367	2642907.70118724058523246047	201005280841			
074004	田尾分隊	074000	3	田尾鄉田尾村公所路207號	201771.429817326079736472	2643193.4582457825198159527	201005280841			
074005	二林分隊	074000	3	二林鎮豐田里仁愛路200號	186484.619551395507544955	2644423.53752852319407175196	201005280841			
074006	竹塘分隊	074000	3	竹塘鄉竹塘村竹林路一段285號	191722.3092408769355176288	2639667.10990880902504742916	201005280841			
074007	大城分隊	074000	3	大城鄉西城村南平路911號	179843.2633843344344764433	2639161.87107135116366796664	201005280841			
074008	芳苑分隊	074000	3	芳苑鄉芳苑村斗苑路194巷50號	180821.5060224983947963115	2646882.326568972541759723	201005280841			
074009	漢寶分隊	074000	3	彰化縣芳苑鄉漢寶村草漢路568號	187487.312	2655857.23	20100525000000	SA		
072008	林厝分隊	072000	3	員林鎮林厝里員南路420巷66弄25號	209531.419	2648553.499	20100525000000	SA		
075000	第五大隊	070000	1	埔心鄉義民村員鹿路二段415號	0	0	201203211127	DT		
000000	消防署	0	0	AA	0	0				
070000	消防局	000000	0	彰化縣	195895.125	2653277.78				
070001	副局長室	070000	0	彰化市中央路1號2F	202827.7680731978855006634	2662150.9012902143692162169	201008191043	SA		
070002	災害預防科	070000	0	彰化市中央路1號2F 　	202828.3991031976011050313	2662151.53232021376481771472	201008191038	SA		
070003	災害搶救科	070000	0	彰化市中央路1號2F 　	202829.030143197674162595	2662150.2702602141962636964	201008191045	SA		
070004	緊急救護科	070000	0	彰化市中央路1號4F 　	202827.7680731977646481199	2662151.53232021394566949216	201008191046	SA		
070005	教育訓練科	070000	0	彰化市中央路1號4F 　	202829.001363197661351844	2662150.2994102140529617561	201008191026	SA		
070006	火災調查科	070000	0	彰化市中央路1號2F 　	202827.7680731977646481199	2662151.53232021394566949216	201008191047	SA		
070007	救災救護指揮科	070000	0	彰化市中央路1號5F 　	202828.3991031978428101183	2662150.2702602146119111642	201008191050	SA		
070008	行政科	070000	0	彰化市中央路1號2F 　	202828.3991031977119574199	2662150.90129021418836437425	201008191051	SA		
070009	保養場	070000	0	彰化市中央路1號1F 　	202828.3991031977119574199	2662150.90129021418836437425	201008191051	SA		
070010	秘書室	070000	0	彰化市中央路1號2F 　	202828.3991031978428101183	2662150.2702602146119111642	201008191056	SA		
070011	會計室	070000	0	彰化市中央路1號2F 　	202829.0301431975333110459	2662150.90129021397271993924	201008191055	SA		
070012	人事室	070000	0	彰化市中央路1號4F 　	202828.3991031977119574199	2662150.90129021418836437425	201008191055	SA		
070013	政風室	070000	0	彰化市中央路1號4F 　	202827.7680731980263535167	2662150.27026021479276307206	201008191054	SA		
070014	局長室	070000	0	彰化市中央路1號2F	202829.0301431974124585024	2662151.5323202135491732145	201008191054	SA		
070015	災害管理科	070000	0	彰化市中央路1號2F	202828.3991031974502546315	2662152.16335021374127699035	201008191053	SA		
071000	第一大隊	070000	0	彰化市中山路三段266號3F	205271.5176220002785875634	2664662.32211901136894543036	201005280841	SA		
071001	彰化分隊	071000	3	彰化市南興里中央路1號	202846.6096531937455152216	2662145.1275502121042790594	201006031854	SA		
071002	彰化東區分隊	071000	3	彰化市復興里中山路三段266號	205271.9601320003996024025	2664660.97083901194175080635	201005251430	SA		
071003	花壇分隊	071000	3	花壇鄉長沙村彰員路241之1號	204134.5230436296513827458	2658186.53090107058619388212	201005251430			
071004	芬園分隊	071000	3	芬園鄉社口村彰南路四段189號	212203.4539816339771464442	2656783.19692983635119949388	201005251432			
071005	和美分隊	071000	3	和美鎮和北里德美路520號	199028.6187930597830834745	2668146.53413928831949190745	201005251435	SA		
071006	線西分隊	071000	3	線西鄉寓埔村和線路972號	196228.5567035602242300172	2669584.19902944775895131524	201005251436	SA		
071007	伸港分隊	071000	3	伸港鄉大同村中興路二段197號	197700.129	2672790.709	20100525000000	SA		
072000	第二大隊	070000	1	彰化縣員林鎮林厝里員南路420巷66弄25號3樓	209553.5742740464139860447	2648546.640572698303001922	201005280840	SA		
072001	員林分隊	072000	3	員林鎮三和里和平東路21號	207130.074604242877981132	2650962.8241825054868640076	201005251438	SA		
072002	員林西區分隊	072000	3	員林鎮南興里源泉路78之100號	205462.6303348104108708939	2650484.94040297709279355587	201005251441	SA		
072003	大村分隊	072000	3	大村鄉大村村茄苳路一段52號	203663.9506744897791867435	2654586.8355221820732249383	201005251444			
072004	永靖分隊	072000	3	永靖鄉永東村永靖街2號	203891.1351861095356714642	2646251.47209449077256096778	201005251445			
072005	田中分隊	072000	3	田中鎮西路里斗中路一段230號	207254.6091464724467330643	2639752.19599564699430029637	201005251451	SA		
072006	社頭分隊	072000	3	社頭鄉社頭村員集路二段204號	208050.2218054247484976154	2643826.02779433499306509733	201005280842			
072007	二水分隊	072000	3	二水鄉二水村員集路三段739號	210820.2988265936561029575	2634166.74756650455972817405	201005280842			
073000	第三大隊	070000	1	鹿港鎮建國路489號3F	192749.54	2662437.851	20100525000000	SA		
073001	鹿港分隊	073000	3	鹿港鎮順興里中山路296號	192373.5126462919341847548	2661452.468462523830045162	201005280842	SA		
073002	福興分隊	073000	3	福興鄉元中村復興路33號	195837.695	2657684.732	20100525000000	SA		
073003	秀水分隊	073000	3	秀水鄉福安村復新街5號	199011.4643950281954433561	2658426.89609203739151711243	201005280841			
073004	溪湖分隊	073000	3	溪湖鎮湖東里大溪路二段330號	197367.1411069484598299592	2651220.72467440468946253503	201005280841			
073005	埔鹽分隊	073000	3	埔鹽鄉好修村員鹿路二段160號	195029.4065966442303462138	2655995.27794352823530946452	201005280841			
073006	埔心分隊	073000	3	埔心鄉舊館村中正路二段155號	201600.16204	2649503.81924	201305270925	SA		
073007	鹿鳴分隊	073000	3	鹿港鎮埔崙里建國路489號	192748.808	2662432.156	20100525000000	SA		
074000	第四大隊	070000	1	埤頭鄉平原村安康街100號3F	194955.7983593090931322361	2642907.07015724054707414654	201005280841	SA		
074001	北斗分隊	074000	3	北斗鎮西德里公所街12號	201257.1415279379717735403	2640883.50098653899885318197	201005280841			
074002	溪州分隊	074000	3	溪州鄉溪州村中山路三段278號	198364.095429166258354077	2638848.5271276975501156182	201005280841			
074003	埤頭分隊	074000	3	埤頭鄉平原村安康街100號	194954.536299309289366367	2642907.70118724058523246047	201005280841			
074004	田尾分隊	074000	3	田尾鄉田尾村公所路207號	201771.429817326079736472	2643193.4582457825198159527	201005280841			
074005	二林分隊	074000	3	二林鎮豐田里仁愛路200號	186484.619551395507544955	2644423.53752852319407175196	201005280841			
